nonterminal,!,!=,$,%,&&,(,),*,+,",",-,.,/,<,<=,=,==,>,>=,EOL,Ifj,Null,Num,String,class,else,for,gident,ident,if,ifj25,import,is,null,num_lit,return,static,str_lit,var,while,{,||,}
Additive,R57,,,,,R57,,,,,,,,,,,,,,,R57,,,,,,,R57,R57,,,,,R57,R57,,,R57,,,,,
AdditiveTail,,,,,,,,,R58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AfterAssign,R25,,,,,R25,,,,,,,,,,,,,,,"R24,R25",,,,,,,R25,"R24,R25",,,,,R25,R25,,,R25,,,,,
ArgList,,,,,,,,,,,,,,,,,,,,,,,,,,,,R30,R30,,,,,R30,R30,,,R30,,,,,
ArgListOpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,R28,R28,,,,,R28,R28,,,R28,,,,,
ArgTail,,,,,,,,,,R31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R15,,
Class,,,,,,,,,,,,,,,,,,,,,,,,,R3,,,,,,,,,,,,,,,,,,
EXPR,R38,,,,,R38,,,,,,,,,,,,,,,R38,,,,,,,R38,R38,,,,,R38,R38,,,R38,,,,,
Equality,R45,,,,,R45,,,,,,,,,,,,,,,R45,,,,,,,R45,R45,,,,,R45,R45,,,R45,,,,,
EqualityTail,,,,,,,,,,,,,,,,,R46,,,,,,,,,,,,,,,,,,,,,,,,,,
FuncDecl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,,,,,,
FuncHead,,,,,,R7,,,,,,,,,,R8,,,,,,,,,,,,,,,,,,,,,,,,,,,
FuncList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R4,,,,,,
FuncName,,,,,,,,,,,,,,,,,,,,,R26,,,,,,,,R27,,,,,,,,,,,,,,
IsExpr,R48,,,,,R48,,,,,,,,,,,,,,,R48,,,,,,,R48,R48,,,,,R48,R48,,,R48,,,,,
IsExprTail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R49,,,,,,,,,,
LogicAnd,R42,,,,,R42,,,,,,,,,,,,,,,R42,,,,,,,R42,R42,,,,,R42,R42,,,R42,,,,,
LogicAndTail,,,,,R43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LogicOr,R39,,,,,R39,,,,,,,,,,,,,,,R39,,,,,,,R39,R39,,,,,R39,R39,,,R39,,,,,
LogicOrTail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R40,
Multiplicative,R60,,,,,R60,,,,,,,,,,,,,,,R60,,,,,,,R60,R60,,,,,R60,R60,,,R60,,,,,
MultiplicativeTail,,,,,,,,R61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ParamList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R12,,,,,,,,,,,,,,
ParamListOpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R10,,,,,,,,,,,,,,
ParamTail,,,,,,,,,,R13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary,,,,,,R69,,,,,,,,,,,,,,,R71,,,,,,,R68,R70,,,,,R67,R65,,,R66,,,,,
PrimaryIdentTail,,,,,,R72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R1,,,,,,,,,,,
Prolog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2,,,,,,,,,,,
Relational,R54,,,,,R54,,,,,,,,,,,,,,,R54,,,,,,,R54,R54,,,,,R54,R54,,,R54,,,,,
RelationalTail,,,,,,,,,,,,,,R55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,R23,R22,R19,,,,,,R21,,,R18,R20,,,
Term,,,,,,,,,,,,,,,,,,,,,,,,,,,,R37,R36,,,,,R35,R33,,,R34,,,,,
TypeKeyword,,,,,,,,,,,,,,,,,,,,,,R53,R52,R51,,,,,,,,,,,,,,,,,,,
Unary,R63,,,,,R64,,,,,,,,,,,,,,,R64,,,,,,,R64,R64,,,,,R64,R64,,,R64,,,,,

